"","acoustic_project_code","station_name","deploy_latitude","deploy_longitude"
"252","bpns","bpns-CNB08",51.6707,2.79492
"253","bpns","bpns-CNB09",51.66936,2.7976
"254","bpns","bpns-CNB10",51.66811,2.80066
"255","bpns","bpns-CNB11",51.66653,2.8034
"256","bpns","bpns-CNB12",51.66854,2.79434
"257","bpns","bpns-CNB13",51.66725,2.79721
"258","bpns","bpns-CNB14",51.66594,2.79998
"259","bpns","bpns-CPowerReefballs",51.5800044,2.9954894
"260","bpns","bpns-CPowerReefballs-EMOBON",51.579833,2.9955
"261","bpns","bpns-D1",51.2325,2.643166667
"262","bpns","bpns-Duc de Normandie",51.4253,2.6055
"263","bpns","bpns-GARDENCITY",51.485333,2.298666667
"264","bpns","bpns-HD17",51.37233,3.357733
"265","bpns","bpns-herdersbrug",51.276209,3.211062
"266","bpns","bpns-KB2",51.350667,2.703666667
"267","bpns","bpns-Kilmore",51.3955,2.4965
"268","bpns","bpns-LNG",51.345261,3.212218
"269","bpns","bpns-LottoBuoy",51.5666667,2.983333
"270","bpns","bpns-middelkerkebank",51.3033,2.7125
"271","bpns","bpns-NHSE",51.757,2.665333333
"272","bpns","bpns-nieuwpoortbank",51.1695,2.6015
"273","bpns","bpns-NIEUWPOORTKUST8",51.160167,2.691833333
"274","bpns","bpns-NieuwpoortSheltered",51.116233,2.578817
"275","bpns","bpns-NobelwindG10",51.63131,2.80156
"276","bpns","bpns-Noordede",51.223,2.9451
"277","bpns","bpns-O6",51.243106,2.917725
"278","bpns","bpns-OH1",51.240014,2.917553
"279","bpns","bpns-OOSTDYCK",51.356333,2.518666667
"280","bpns","bpns-radar",51.2747666667,2.4479833333
"281","bpns","bpns-RTNZ01",51.55004529,2.940354651
"282","bpns","bpns-RTNZ02",51.54877,2.93566
"283","bpns","bpns-RTNZ03",51.54813,2.93679
"284","bpns","bpns-RTNZ04",51.54795,2.93738
"285","bpns","bpns-RTNZ05",51.54766,2.93799
"286","bpns","bpns-RTNZ06",51.54584,2.94207
"287","bpns","bpns-RTNZ07",51.5456,2.94265
"288","bpns","bpns-RYCO",51.2247,2.9408
"289","bpns","bpns-S4",51.417167,3.0475
"290","bpns","bpns-S7",51.399667,3.173666667
