catchedDateTime,projectName,tag,utcReleaseDateTime,scientificName,sedativeConcentration,temperatureChange,holdingTemperature,postOpHoldingPeriod,preopHoldingPeriod,sedative,treatmentType,wildOrHatchery,endDateTag,stock,surgeryLocation,dnaSampleTaken,dissolvedOxygen,surgeryLongitude,recaptureDate,bufferConcentrationInRecirculation,implantType,implantMethod,tagSerialNumber,anestheticConcentrationInRecirculation,bufferConcentrationInAnaesthetic,comments,surgeryLatitude,anaesthetic,buffer,anaestheticConcentration,dateOfSurgery,releaseLatitude,length,length2Units,lengthType,lengthUnits,length4Type,length4,length2Type,length2,commonName,animalId,length3,length3Type,length3Units,length4Units,weight,captureLongitude,captureLatitude,captureDepth,releaseLocation,personId,captureMethod,captureLocation,age,weightUnits,ageUnits,sex,lifeStage,releaseLongitude
2015-01-14T09:00:00Z,2013_Stour,31,2015-01-14T16:44:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.959042,701,,total length,mm,,,,,,,,,,,,0.971936,51.969272,,30 m upstream Flatford mill,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,1.021295
2015-01-14T09:00:00Z,2013_Stour,32,2015-01-14T16:44:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.959042,563,,total length,mm,,,,,,,,,,,,0.971936,51.969272,,30 m upstream Flatford mill,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,1.021295
2015-01-13T09:00:00Z,2013_Stour,33,2015-01-13T16:30:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.959042,690,,total length,mm,,,,,,,,,,,,0.971936,51.969272,,30 m upstream Flatford mill,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,1.021295
2015-01-13T09:00:00Z,2013_Stour,34,2015-01-13T16:30:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.959042,682,,total length,mm,,,,,,,,,,,,0.971936,51.969272,,30 m upstream Flatford mill,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,1.021295
2015-01-12T09:00:00Z,2013_Stour,35,2015-01-12T15:45:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.959042,718,,total length,mm,,,,,,,,,,,,0.971936,51.969272,,30 m upstream Flatford mill,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,1.021295
2015-01-12T09:00:00Z,2013_Stour,36,2015-01-12T15:45:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.959042,587,,total length,mm,,,,,,,,,,,,0.971936,51.969272,,30 m upstream Flatford mill,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,1.021295
2015-01-13T09:00:00Z,2013_Stour,37,2015-01-13T16:30:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.959042,635,,total length,mm,,,,,,,,,,,,0.971936,51.969272,,30 m upstream Flatford mill,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,1.021295
2015-01-14T09:00:00Z,2013_Stour,38,2015-01-14T16:44:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.959042,657,,total length,mm,,,,,,,,,,,,0.971936,51.969272,,30 m upstream Flatford mill,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,1.021295
2015-01-13T09:00:00Z,2013_Stour,39,2015-01-13T16:30:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.959042,510,,total length,mm,,,,,,,,,,,,0.971936,51.969272,,30 m upstream Flatford mill,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,1.021295
2015-01-12T09:00:00Z,2013_Stour,40,2015-01-12T15:45:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.959042,641,,total length,mm,,,,,,,,,,,,0.971936,51.969272,,30 m upstream Flatford mill,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,1.021295
2015-01-12T09:00:00Z,2013_Stour,41,2015-01-12T15:45:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.959042,672,,total length,mm,,,,,,,,,,,,0.971936,51.969272,,30 m upstream Flatford mill,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,1.021295
2015-01-12T09:00:00Z,2013_Stour,42,2015-01-12T15:45:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.959042,694,,total length,mm,,,,,,,,,,,,0.971936,51.969272,,30 m upstream Flatford mill,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,1.021295
2015-01-14T09:00:00Z,2013_Stour,43,2015-01-14T16:44:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.959042,717,,total length,mm,,,,,,,,,,,,0.971936,51.969272,,30 m upstream Flatford mill,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,1.021295
2015-01-14T09:00:00Z,2013_Stour,44,2015-01-14T16:44:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.959042,794,,total length,mm,,,,,,,,,,,,0.971936,51.969272,,30 m upstream Flatford mill,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,1.021295
2014-12-10T09:00:00Z,2013_Stour,45,2014-12-10T17:45:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,582,,total length,mm,,,,,,,,,,,396,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-12-12T09:00:00Z,2013_Stour,46,2014-12-12T16:15:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,578,,total length,mm,,,,,,,,,,,,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-12-12T09:00:00Z,2013_Stour,47,2014-12-12T16:15:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,514,,total length,mm,,,,,,,,,,,,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-12-12T09:00:00Z,2013_Stour,48,2014-12-12T16:15:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,718,,total length,mm,,,,,,,,,,,,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-12-12T09:00:00Z,2013_Stour,49,2014-12-12T16:15:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,533,,total length,mm,,,,,,,,,,,,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-12-12T09:00:00Z,2013_Stour,50,2014-12-12T16:15:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,511,,total length,mm,,,,,,,,,,,,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-12-10T09:00:00Z,2013_Stour,51,2014-12-10T17:45:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,613,,total length,mm,,,,,,,,,,,377,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-12-10T09:00:00Z,2013_Stour,52,2014-12-10T17:45:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,644,,total length,mm,,,,,,,,,,,521,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-12-10T09:00:00Z,2013_Stour,53,2014-12-10T17:45:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,728,,total length,mm,,,,,,,,,,,715,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-12-10T09:00:00Z,2013_Stour,54,2014-12-10T17:45:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,673,,total length,mm,,,,,,,,,,,625,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-12-10T09:00:00Z,2013_Stour,55,2014-12-10T17:45:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,884,,total length,mm,,,,,,,,,,,1498,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-12-12T09:00:00Z,2013_Stour,56,2014-12-12T16:15:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,547,,total length,mm,,,,,,,,,,,,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-12-10T09:00:00Z,2013_Stour,57,2014-12-10T17:45:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,613,,total length,mm,,,,,,,,,,,459,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-12-10T09:00:00Z,2013_Stour,58,2014-12-10T17:45:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,549,,total length,mm,,,,,,,,,,,268,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-12-10T09:00:00Z,2013_Stour,59,2014-12-10T17:45:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,669,,total length,mm,,,,,,,,,,,473,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-12-10T09:00:00Z,2013_Stour,60,2014-12-10T17:45:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,672,,total length,mm,,,,,,,,,,,536,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-12-12T09:00:00Z,2013_Stour,61,2014-12-12T16:15:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,548,,total length,mm,,,,,,,,,,,,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-12-12T09:00:00Z,2013_Stour,62,2014-12-12T16:15:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,637,,total length,mm,,,,,,,,,,,,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2014-12-12T09:00:00Z,2013_Stour,63,2014-12-12T16:15:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,632,,total length,mm,,,,,,,,,,,,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
2013-11-19T09:00:00Z,2013_Stour,64,2013-11-19T16:55:00Z,Anguilla anguilla,,,,,,,,,,,,,,,,,internal,inserted into the intra-peritoneal cavity through midventral line incision ,,,,,,Benzocaine,,200 mg/L,,51.96949,622,,total length,mm,,,,,,,,,,,435,0.971936,51.969272,,Stratford St Mary ,,fyke nets,ca. 5 km upstream of Flatford,,g,,female,silver,0.97145
