,s-2,s-Wetteren,s-Wichelen,s-2a,s-3,s-Dendermonde,s-4b,s-4c,s-6,s-8,s-9,s-12,s-STD3,s-7,s-5,ak-41,s-Vlassenbroek,s-4a,s-9a,s-8a,s-11,s-4,s-10a,ak-45,ws-53A,ws-53,ws-42A,ws-18,ws-25B,ws-16,ws-14,ws-12A,ws-6,ws-4,ws-PVTSS,ws-DL9,ws-DL7,ws-55,ws-2C,ws-TRAWL,ws-F42,ws-HW6,ws-11,s-1,ws-OGDL,ws-OG10,ws-SP3,ws-25A,ws-25,ws-23,ws-A5,ws-PPC,ws-A3,ws-A1,ws-15A,ws-15,ws-W6,ak-47,ws-WN2,bpns-WENDUINEBANKW,bpns-Whitley,me-7-2,M-6,ws-13,ws-W7,bpns-W1,bpns-Trapegeer,du-Hamveer,bpns-WK12,ws-FZ2,bpns-S4,bpns-A1BIS,bpns-S7,bpns-O6,M-4,M-4A,M-3,M-2,M-1,M-5,s-Dendermonde2,bpns-KB2,bpns-middelkerkebank,bpns-nieuwpoortbank,ws-borssele,PC4C-C05-2,PC4C-C05-9,ws-GVWSP,bpns-Cpowerreefballs-CPOD,bpns-zbe1,bpns-ZA2,ws-F53,bpns-WK14,rel_schelde1,rel_dijle,rel_schelde2,rel_schelde3,rel_schelde4,rel_schelde5
ws-FZ2,118077.2538,111442.5905,105997.6772,101163.0656,91273.78296,85763.37962,73253.33101,70763.96001,62740.09702,53057.40621,47610.465,25127.84285,21214.64672,60750.40005,67950.37378,39820.87247,77939.38135,76591.04602,47410.52705,53157.37518,25510.57689,87253.03647,39903.67519,29214.20139,1806.6324,1248.244323,482.7274233,18942.30671,20025.04324,20052.40455,20903.9236,21696.85062,24309.9998,24658.40132,25306.78299,43603.85865,44852.20061,2764.896372,25410.64577,43578.92918,382.7828571,1289.670087,25962.18467,118732.4846,41821.16846,42635.10674,44472.56837,21176.54243,21676.50933,22452.24569,23286.57408,24134.9425,23755.31027,24265.44782,24292.80913,24702.9533,43809.42788,20600.79283,43664.88252,88981.94992,110532.5421,63343.63382,70567.94028,25655.18451,43336.82228,54581.35172,117128.9546,70364.3526,69812.29513,0,71983.35064,79487.4424,63308.13718,88310.79512,76426.69633,76426.69633,76768.02902,76950.84952,79006.15855,74229.99257,85763.37962,98241.64606,99835.95769,113762.8422,27148.71076,100574.6054,100657.4081,44034.34411,83118.15933,63022.91586,63919.63245,1331.095851,58516.19369,57836.55195,76426.69633,84797.82714,101121.6399,74684.39583,118077.2538
bpns-S4,188321.7474,181687.0842,176242.1708,171407.5593,161518.2766,156007.8733,143497.8247,141008.4537,132984.5907,123301.8999,117854.9586,95372.3365,91459.14037,130994.8937,138194.8674,110065.3661,148183.875,146835.5397,117655.0207,123401.8688,95755.07054,157497.5301,110148.1688,99458.69504,70820.96202,70969.37679,71617.75845,56518.75791,55601.62682,54829.04108,53480.70575,52273.76515,47673.35084,47324.94932,46676.56766,33016.44397,32264.9183,70920.95541,46821.11302,30391.68659,71766.17321,71697.41054,46021.16597,188976.9783,34633.52873,34930.35825,31485.31254,53953.31134,53453.34444,52429.19994,51263.6607,50912.10855,50132.50279,49042.74625,48270.16051,47280.39734,28422.3309,90845.28648,29477.70612,19242.34664,40675.8036,133588.1275,140812.4339,46328.16613,28646.52836,19058.0532,45808.02572,140608.8462,6638.361812,71983.35064,0,8517.91917,9586.043314,23022.3307,146671.19,146671.19,147012.5227,147195.3432,149250.6522,144474.4862,156007.8733,26920.71713,28515.02876,42441.91331,46583.5943,35033.69256,35233.63051,30847.10152,19685.68072,13100.57048,13621.59745,70769.39002,17193.27908,128081.0456,146671.19,155042.3208,171366.1335,144928.8895,188321.7474
bpns-A1BIS,195825.8392,189191.1759,183746.2626,178911.651,169022.3684,163511.965,151001.9164,148512.5454,140488.6824,130805.9916,125359.0504,102876.4283,98963.23213,138498.9855,145698.9592,117569.4579,155687.9668,154339.6314,125159.1125,130905.9606,103259.1623,165001.6219,117652.2606,106962.7868,78325.05378,78473.46854,79121.85021,64022.84967,63105.71858,62333.13284,60984.79751,59777.85691,55177.4426,54829.04108,54180.65942,41182.95744,40431.43177,78425.04716,54987.62649,38558.20006,79270.26497,79201.5023,53939.2713,196481.07,42800.0422,43096.87173,39651.82601,61457.4031,60957.4362,59933.2917,58767.75246,58416.20031,57636.59455,56546.83801,55774.25227,54784.4891,36588.84438,98349.37824,37644.21959,10724.42746,32157.88443,141092.2192,148316.5257,53832.25789,36316.22554,24906.09068,37641.51224,148112.938,15156.28098,79487.4424,8517.91917,0,16179.30522,14504.41153,154175.2817,154175.2817,154516.6144,154699.4349,156754.744,151978.578,163511.965,18754.20366,20348.51529,34275.39984,54750.10777,38911.92612,39111.86407,39013.61499,25220.94485,16464.52654,16654.34265,78273.48178,20971.24871,135585.1374,154175.2817,162546.4125,178870.2253,152432.9812,195825.8392
bpns-S7,179646.534,173011.8707,167566.9574,162732.3458,152843.0631,147332.6598,134822.6112,132333.2402,124309.3772,114626.6864,109179.7452,86697.12304,82783.92691,122319.6802,129519.654,101390.1527,139508.6615,138160.3262,108979.8072,114726.6554,87079.85708,148822.3167,101472.9554,90783.48158,62145.74856,62294.16332,62942.54499,47843.54445,46926.41336,46153.82762,44805.49229,43598.55169,38998.13738,38649.73586,38001.3542,25003.65222,24252.12655,62245.74194,38808.32127,22378.89484,63090.95975,63022.19708,37759.96608,180301.7648,26620.73698,26917.56651,23472.52079,45278.09788,44778.13098,43753.98648,42588.44724,42236.89509,41457.28933,40367.53279,39594.94705,38605.18388,20409.53916,82170.07302,21464.91437,25673.81273,47224.40494,124912.914,132137.2205,37652.95267,20136.92032,9472.009887,53820.81746,131933.6328,8703.475368,63308.13718,9586.043314,16179.30522,0,25002.65794,137995.9765,137995.9765,138337.3092,138520.1297,140575.4387,135799.2728,147332.6598,34933.50888,36527.82051,50454.70506,38570.80255,40578.57033,40778.50827,22834.30977,25230.55848,4685.879495,6143.988335,62094.17656,7607.235762,119405.8321,137995.9765,146367.1073,162690.9201,136253.676,179646.534
bpns-O6,204649.1919,198014.5286,192569.6153,187735.0038,177845.7211,172335.3177,159825.2691,157335.8981,149312.0351,139629.3443,134182.4031,111699.781,107786.5848,147322.3382,154522.3119,126392.8106,164511.3195,163162.9841,133982.4652,139729.3133,112082.515,173824.9746,126475.6133,115786.1395,87148.4065,87296.82126,87945.20293,72846.20239,71929.0713,71156.48556,69808.15023,68601.20963,64000.79532,63652.3938,63004.01213,50006.31016,49254.78449,87248.39988,63810.97921,47381.55278,88093.61769,88024.85502,62762.62402,205304.4227,51623.39492,51920.22444,48475.17873,70280.75582,69780.78891,68756.64441,67591.10518,67239.55303,66459.94727,65370.19072,64597.60499,63607.84182,45412.19709,107172.731,46467.57231,6016.975346,22221.747,149915.5719,157139.8784,62655.61061,45139.57826,33729.4434,28818.15953,156936.2907,29660.69252,88310.79512,23022.3307,14504.41153,25002.65794,0,162998.6345,162998.6345,163339.9671,163522.7876,165578.0967,160801.9307,172335.3177,19867.17661,17072.94441,25452.04712,63573.46049,50599.38567,50799.32362,47836.96771,39725.35638,25287.87926,24566.86552,87096.8345,29794.60143,144408.4901,162998.6345,171369.7653,187693.578,161256.334,204649.1919
M-4,82996.18688,76361.52362,70916.61029,66081.99873,56192.71606,50682.31272,38172.26411,35682.89311,27659.03012,23369.29012,28816.23134,51298.85349,55212.04961,25669.33315,32869.30688,37064.31619,42858.31445,41509.97912,29016.16929,23269.32115,51116.05739,52171.96957,36581.58877,48002.4422,76264.24153,76612.64305,76461.07767,93630.14605,94712.88258,94740.24389,95591.76294,96384.68996,98997.83914,99346.24066,99994.62233,118291.698,119540.0399,75750.23458,100098.4851,118266.7685,76809.47919,77540.66357,100650.024,83651.41772,116509.0078,117322.9461,119160.4077,95864.38177,96364.34868,97140.08503,97974.41342,98822.78185,98443.14961,98953.28716,98980.64847,99390.79264,118497.2672,58649.90445,118352.7219,163669.7893,185220.3815,13083.06251,5858.756052,100343.0238,118024.6616,129269.1911,191816.794,35283.2857,144500.1345,76426.69633,146671.19,154175.2817,137995.9765,162998.6345,0,0,341.3326853,524.1531877,2579.462211,2196.703761,50682.31272,172929.4854,174523.797,188450.6816,101836.5501,175262.4447,175345.2474,118722.1835,157805.9987,137710.7552,138607.4718,76812.62981,133204.033,22755.48505,0,49716.76024,66040.57297,39603.32893,82996.18688
M-4A,82996.18688,76361.52362,70916.61029,66081.99873,56192.71606,50682.31272,38172.26411,35682.89311,27659.03012,23369.29012,28816.23134,51298.85349,55212.04961,25669.33315,32869.30688,37064.31619,42858.31445,41509.97912,29016.16929,23269.32115,51116.05739,52171.96957,36581.58877,48002.4422,76264.24153,76612.64305,76461.07767,93630.14605,94712.88258,94740.24389,95591.76294,96384.68996,98997.83914,99346.24066,99994.62233,118291.698,119540.0399,75750.23458,100098.4851,118266.7685,76809.47919,77540.66357,100650.024,83651.41772,116509.0078,117322.9461,119160.4077,95864.38177,96364.34868,97140.08503,97974.41342,98822.78185,98443.14961,98953.28716,98980.64847,99390.79264,118497.2672,58649.90445,118352.7219,163669.7893,185220.3815,13083.06251,5858.756052,100343.0238,118024.6616,129269.1911,191816.794,35283.2857,144500.1345,76426.69633,146671.19,154175.2817,137995.9765,162998.6345,0,0,341.3326853,524.1531877,2579.462211,2196.703761,50682.31272,172929.4854,174523.797,188450.6816,101836.5501,175262.4447,175345.2474,118722.1835,157805.9987,137710.7552,138607.4718,76812.62981,133204.033,22755.48505,0,49716.76024,66040.57297,39603.32893,82996.18688
M-3,83337.51957,76702.85631,71257.94297,66423.33142,56534.04875,51023.6454,38513.59679,36024.2258,28000.36281,23710.62281,29157.56402,51640.18617,55553.3823,26010.66583,33210.63957,37405.64887,43199.64714,41851.31181,29357.50197,23610.65384,51457.39008,52513.30225,36922.92145,48343.77488,76605.57421,76953.97574,76802.41035,93971.47874,95054.21526,95081.57658,95933.09562,96726.02265,99339.17182,99687.57335,100335.955,118633.0307,119881.3726,76091.56726,100439.8178,118608.1012,77150.81188,77881.99626,100991.3567,83992.75041,116850.3405,117664.2788,119501.7404,96205.71446,96705.68136,97481.41772,98315.7461,99164.11453,98784.48229,99294.61984,99321.98116,99732.12532,118838.5999,58991.23714,118694.0545,164011.1219,185561.7141,13424.3952,6200.088737,100684.3565,118365.9943,129610.5237,192158.1267,35624.61839,144841.4672,76768.02902,147012.5227,154516.6144,138337.3092,163339.9671,341.3326853,341.3326853,0,241.3881191,2296.697142,2538.036447,51023.6454,173270.8181,174865.1297,188792.0143,102177.8828,175603.7774,175686.5801,119063.5161,158147.3314,138052.0879,138948.8045,77153.9625,133545.3657,23096.81774,341.3326853,50058.09293,66381.90566,39944.66162,83337.51957
M-2,83520.34007,76885.67681,71440.76347,66606.15192,56716.86925,51206.46591,38696.41729,36207.0463,28183.18331,23893.44331,29340.38453,51823.00667,55736.2028,26193.48634,33393.46007,37588.46938,43382.46764,42034.13231,29540.32247,23793.47434,51640.21058,52696.12275,37105.74195,48526.59539,76788.39472,77136.79624,76985.23086,94154.29924,95237.03577,95264.39708,96115.91613,96908.84315,99521.99233,99870.39385,100518.7755,118815.8512,120064.1931,76274.38776,100622.6383,118790.9217,77333.63238,78064.81676,101174.1772,84175.57091,117033.161,117847.0993,119684.5609,96388.53496,96888.50186,97664.23822,98498.5666,99346.93503,98967.3028,99477.44035,99504.80166,99914.94583,119021.4204,59174.05764,118876.875,164193.9424,185744.5346,13607.2157,6382.90924,100867.177,118548.8148,129793.3442,192340.9472,35807.43889,145024.2877,76950.84952,147195.3432,154699.4349,138520.1297,163522.7876,524.1531877,524.1531877,241.3881191,0,2055.309023,2720.856949,51206.46591,173453.6386,175047.9502,188974.8348,102360.7033,175786.5979,175869.4006,119246.3366,158330.1519,138234.9084,139131.625,77336.783,133728.1862,23279.63824,524.1531877,50240.91343,66564.72616,40127.48212,83520.34007
M-1,85575.64909,78940.98583,73496.0725,68661.46095,58772.17827,53261.77493,40751.72632,38262.35533,30238.49234,25948.75234,31395.69355,53878.3157,57791.51182,28248.79536,35448.76909,39643.7784,45437.77666,44089.44133,31595.6315,25848.78336,53695.5196,54751.43178,39161.05098,50581.90441,78843.70374,79192.10526,79040.53988,96209.60827,97292.34479,97319.7061,98171.22515,98964.15218,101577.3013,101925.7029,102574.0845,120871.1602,122119.5022,78329.69679,102677.9473,120846.2307,79388.9414,80120.12578,103229.4862,86230.87993,119088.47,119902.4083,121739.8699,98443.84398,98943.81089,99719.54725,100553.8756,101402.2441,101022.6118,101532.7494,101560.1107,101970.2548,121076.7294,61229.36666,120932.1841,166249.2515,187799.8437,15662.52472,8438.218263,102922.4861,120604.1238,131848.6533,194396.2562,37862.74791,147079.5967,79006.15855,149250.6522,156754.744,140575.4387,165578.0967,2579.462211,2579.462211,2296.697142,2055.309023,0,4776.165972,53261.77493,175508.9476,177103.2592,191030.1438,104416.0123,177841.9069,177924.7096,121301.6457,160385.4609,140290.2174,141186.934,79392.09202,135783.4952,25334.94726,2579.462211,52296.22245,68620.03518,42182.79114,85575.64909
M-5,80799.48312,74164.81986,68719.90653,63885.29497,53996.0123,48485.60896,35975.56035,33486.18935,25462.32636,21172.58636,26619.52758,49102.14972,53015.34585,23472.62939,30672.60312,34867.61243,40661.61069,39313.27536,26819.46553,21072.61739,48919.35363,49975.26581,34384.885,45805.73844,74067.53777,74415.93929,74264.37391,91433.44229,92516.17882,92543.54013,93395.05918,94187.9862,96801.13538,97149.5369,97797.91857,116094.9942,117343.3362,73553.53082,97901.78135,116070.0648,74612.77543,75343.95981,98453.32025,81454.71396,114312.304,115126.2423,116963.7039,93667.67801,94167.64491,94943.38127,95777.70966,96626.07808,96246.44585,96756.5834,96783.94471,97194.08888,116300.5635,56453.20069,116156.0181,161473.0855,183023.6777,10886.35875,3662.052291,98146.32009,115827.9579,127072.4873,189620.0902,33086.58194,142303.4307,74229.99257,144474.4862,151978.578,135799.2728,160801.9307,2196.703761,2196.703761,2538.036447,2720.856949,4776.165972,0,48485.60896,170732.7816,172327.0933,186253.9778,99639.84634,173065.741,173148.5437,116525.4797,155609.2949,135514.0514,136410.768,74615.92605,131007.3293,20558.78129,2196.703761,47520.05648,63843.86921,37406.62517,80799.48312
s-Dendermonde2,32313.87417,25679.2109,20234.29757,15399.68602,5510.403344,0,12510.04861,14999.4196,23023.28259,32705.97341,38152.91462,60635.53677,64548.7329,25012.97957,17813.00584,46400.99947,7823.998265,9172.333598,38352.85257,32606.00443,60452.74067,1489.656849,45918.27205,57339.12548,85600.92481,85949.32633,85797.76095,102966.8293,104049.5659,104076.9272,104928.4462,105721.3732,108334.5224,108682.9239,109331.3056,127628.3813,128876.7232,85086.91786,109435.1684,127603.4518,86146.16247,86877.34685,109986.7073,32969.105,125845.6911,126659.6294,128497.091,105201.0651,105701.032,106476.7683,107311.0967,108159.4651,107779.8329,108289.9704,108317.3318,108727.4759,127833.9505,67986.58774,127689.4051,173006.4725,194557.0647,37599.25021,44823.55667,109679.7071,127361.3449,138605.8743,201153.4773,22450.58599,153836.8178,85763.37962,156007.8733,163511.965,147332.6598,172335.3177,50682.31272,50682.31272,51023.6454,51206.46591,53261.77493,48485.60896,0,182266.1687,183860.4803,197787.3649,111173.2334,184599.128,184681.9307,128058.8667,167142.682,147047.4385,147944.1551,86149.3131,142540.7163,27926.82767,50682.31272,965.5524762,15358.26025,11078.98379,32313.87417
bpns-KB2,214580.0428,207945.3796,202500.4662,197665.8547,187776.572,182266.1687,169756.1201,167266.7491,159242.8861,149560.1953,144113.2541,121630.6319,117717.4358,157253.1891,164453.1628,136323.6615,174442.1704,173093.8351,143913.3161,149660.1642,122013.366,183755.8255,136406.4642,125716.9905,97079.25744,97227.6722,97876.05387,82777.05333,81859.92223,81087.3365,79739.00116,78532.06057,73931.64626,73583.24474,72934.86307,59937.1611,59185.63543,97179.25082,73741.83014,57312.40372,98024.46863,97955.70596,72693.47495,215235.2737,61554.24586,61851.07538,58406.02967,80211.60676,79711.63985,78687.49535,77521.95611,77170.40397,76390.79821,75301.04166,74528.45593,73538.69276,55343.04803,117103.5819,56398.42324,15138.68883,23477.31084,159846.4229,167070.7293,72586.46155,55070.4292,43660.29434,27203.91015,166867.1417,33149.10562,98241.64606,26920.71713,18754.20366,34933.50888,19867.17661,172929.4854,172929.4854,173270.8181,173453.6386,175508.9476,170732.7816,182266.1687,0,5546.910188,23076.41873,73504.31143,38147.42543,38347.36338,57767.81865,33901.51845,35218.73019,35160.13817,97027.68544,39725.45236,154339.341,172929.4854,181300.6162,197624.4289,171187.1849,214580.0428
bpns-middelkerkebank,216174.3545,209539.6912,204094.7779,199260.1663,189370.8837,183860.4803,171350.4317,168861.0607,160837.1977,151154.5069,145707.5657,123224.9435,119311.7474,158847.5007,166047.4745,137917.9732,176036.482,174688.1467,145507.6277,151254.4759,123607.6776,185350.1372,138000.7759,127311.3021,98673.56907,98821.98383,99470.3655,84371.36496,83454.23387,82681.64813,81333.3128,80126.3722,75525.95789,75177.55637,74529.17471,61531.47273,60779.94706,98773.56245,75336.14178,58906.71535,99618.78026,99550.01759,74287.78659,216829.5853,63148.55749,63445.38702,60000.3413,81805.91839,81305.95149,80281.80699,79116.26775,78764.7156,77985.10984,76895.3533,76122.76756,75133.00439,56937.35967,118697.8935,57992.73488,12344.45663,18427.50982,161440.7345,168665.041,74180.77318,56664.74083,45254.60597,22154.10914,168461.4533,34743.41726,99835.95769,28515.02876,20348.51529,36527.82051,17072.94441,174523.797,174523.797,174865.1297,175047.9502,177103.2592,172327.0933,183860.4803,5546.910188,0,18026.61772,75098.62306,43197.22645,43397.16439,59362.13028,38951.31946,36813.04183,36092.02809,98621.99707,41319.764,155933.6526,174523.797,182894.9278,199218.7406,172781.4965,216174.3545
bpns-nieuwpoortbank,230101.239,223466.5758,218021.6624,213187.0509,203297.7682,197787.3649,185277.3163,182787.9453,174764.0823,165081.3915,159634.4502,137151.8281,133238.632,172774.3853,179974.359,151844.8577,189963.3666,188615.0313,159434.5123,165181.3604,137534.5621,199277.0217,151927.6604,141238.1866,112600.4536,112748.8684,113397.2501,98298.24952,97381.11842,96608.53268,95260.19735,94053.25676,89452.84245,89104.44092,88456.05926,75458.35728,74706.83161,112700.447,89263.02633,72833.59991,113545.6648,113476.9021,88214.67114,230756.4699,77075.44205,77372.27157,73927.22586,95732.80294,95232.83604,94208.69154,93043.1523,92691.60016,91911.9944,90822.23785,90049.65211,89059.88895,70864.24422,132624.7781,71919.61943,24780.89233,4969.157119,175367.6191,182591.9255,88107.65774,70591.62539,59181.49052,4127.491417,182388.3379,48670.30181,113762.8422,42441.91331,34275.39984,50454.70506,25452.04712,188450.6816,188450.6816,188792.0143,188974.8348,191030.1438,186253.9778,197787.3649,23076.41873,18026.61772,0,89025.50761,61223.84416,61423.78211,73289.01483,56977.93718,50739.92638,50018.91264,112548.8816,55246.64855,169860.5372,188450.6816,196821.8124,213145.6251,186708.3811,230101.239
ws-borssele,143487.1075,136852.4443,131407.531,126572.9194,116683.6367,111173.2334,98663.18477,96173.81378,88149.95079,78467.25997,73020.31876,50537.69661,46624.50049,86160.25381,93360.22755,65230.72624,103349.2351,102000.8998,72820.38081,78567.22895,50920.43066,112662.8902,65313.52895,54624.05516,25986.32214,26134.7369,26783.11857,12386.92943,12172.60973,11107.18591,10051.68866,9137.586152,4830.009928,4188.770322,3423.253423,16630.85074,17879.1927,26086.31552,1972.335457,16605.92128,26931.53333,26862.77066,2240.743184,144142.3384,14848.16055,15662.09883,17499.56046,10992.83519,10785.70637,10112.96757,9298.834031,9650.093286,8167.676127,7136.487196,6071.063376,5081.30021,18161.26339,46010.6466,17105.88818,64244.61528,85795.20749,88753.48759,95977.79405,2782.013817,18433.88222,29844.01709,92391.62001,95774.20637,42839.28722,27148.71076,46583.5943,54750.10777,38570.80255,63573.46049,101836.5501,101836.5501,102177.8828,102360.7033,104416.0123,99639.84634,111173.2334,73504.31143,75098.62306,89025.50761,0,73601.59746,73684.40018,17061.3362,56145.15142,38285.58123,39182.29782,25934.75014,33778.85906,83246.40572,101836.5501,110207.6809,126531.4936,100094.2496,143487.1075
PC4C-C05-2,216913.0022,210278.3389,204833.4256,199998.814,190109.5313,184599.128,172089.0794,169599.7084,161575.8454,151893.1546,146446.2134,123963.5912,120050.3951,159586.1484,166786.1222,138656.6208,176775.1297,175426.7944,146246.2754,151993.1236,124346.3253,186088.7848,138739.4236,128049.9498,99412.21675,99560.63151,100209.0132,85110.01264,84192.88155,83420.29581,82071.96048,80865.01988,76264.60557,75916.20405,75267.82239,56970.74672,55722.40477,99512.21014,75163.9596,56995.67619,100357.4279,100288.6653,74612.4207,217568.233,58753.43691,58056.63386,56102.037,82544.56607,82044.59917,81020.45467,79854.91543,79503.36328,78723.75752,77634.00098,76861.41524,75871.65207,56765.17749,119436.5412,56909.72285,44582.41033,61624.73627,162179.3822,169403.6887,74919.42086,57237.78309,47649.30793,65351.33558,169200.101,31875.09496,100574.6054,35033.69256,38911.92612,40578.57033,50599.38567,175262.4447,175262.4447,175603.7774,175786.5979,177841.9069,173065.741,184599.128,38147.42543,43197.22645,61223.84416,73601.59746,0,199.9379472,56540.26126,17456.44604,45264.44982,46722.55866,99360.64475,46545.91282,156672.3003,175262.4447,183633.5755,199957.3882,173520.1442,216913.0022
PC4C-C05-9,216995.8049,210361.1416,204916.2283,200081.6167,190192.3341,184681.9307,172171.8821,169682.5111,161658.6481,151975.9573,146529.0161,124046.3939,120133.1978,159668.9511,166868.9249,138739.4236,176857.9324,175509.5971,146329.0781,152075.9263,124429.128,186171.5876,138822.2263,128132.7525,99495.01947,99643.43423,100291.8159,85192.81536,84275.68426,83503.09852,82154.76319,80947.8226,76347.40829,75999.00677,75350.6251,57053.54943,55805.20748,99595.01285,75246.76232,57078.4789,100440.2307,100371.468,74695.22341,217651.0357,58836.23962,58139.43658,56184.83971,82627.36879,82127.40188,81103.25738,79937.71814,79586.166,78806.56024,77716.80369,76944.21795,75954.45479,56847.98021,119519.3439,56992.52557,44782.34827,61824.67422,162262.1849,169486.4914,75002.22358,57320.5858,47732.11064,65551.27353,169282.9037,32075.0329,100657.4081,35233.63051,39111.86407,40778.50827,50799.32362,175345.2474,175345.2474,175686.5801,175869.4006,177924.7096,173148.5437,184681.9307,38347.36338,43397.16439,61423.78211,73684.40018,199.9379472,0,56623.06397,17539.24876,45464.38777,46922.49661,99443.44747,46745.85077,156755.103,175345.2474,183716.3782,200040.191,173602.9469,216995.8049
ws-GVWSP,160372.7409,153738.0776,148293.1643,143458.5528,133569.2701,128058.8667,115548.8181,113059.4471,105035.5841,95352.89333,89905.95211,67423.32997,63510.13384,103045.8872,110245.8609,82116.35959,120234.8685,118886.5331,89706.01416,95452.8623,67806.06401,129548.5236,82199.1623,71509.68851,42871.95549,43020.37025,43668.75192,28569.75138,27652.62029,26880.03455,25531.69922,24324.75862,19724.34431,19375.94279,18727.56113,2637.883383,2823.439581,42971.94887,18623.69834,1099.65871,43817.16668,43748.40401,18072.15944,161027.9717,3786.427214,4258.959585,1341.022421,26004.30481,25504.33791,24480.19341,23314.65417,22963.10202,22183.49626,21093.73972,20321.15398,19331.39081,3654.690564,62896.27995,2306.477268,48508.12251,70058.71471,105639.1209,112863.4274,18379.1596,4512.985562,14107.52431,76655.12723,112659.8397,25777.95102,44034.34411,30847.10152,39013.61499,22834.30977,47836.96771,118722.1835,118722.1835,119063.5161,119246.3366,121301.6457,116525.4797,128058.8667,57767.81865,59362.13028,73289.01483,17061.3362,56540.26126,56623.06397,0,39083.81522,22549.08845,23445.80504,42820.38349,18042.36628,100132.0391,118722.1835,127093.3143,143417.127,116979.8829,160372.7409
bpns-Cpowerreefballs-CPOD,199456.5561,192821.8929,187376.9795,182542.368,172653.0853,167142.682,154632.6333,152143.2623,144119.3994,134436.7085,128989.7673,106507.1452,102593.9491,142129.7024,149329.6761,121200.1748,159318.6837,157970.3484,128789.8294,134536.6775,106889.8792,168632.3388,121282.9775,110593.5037,81955.77071,82104.18547,82752.56714,67653.5666,66736.4355,65963.84977,64615.51443,63408.57384,58808.15953,58459.75801,57811.37634,39514.30067,38265.95872,82055.76409,57707.51356,39539.23014,82900.9819,82832.21923,57155.97465,200111.787,41296.99087,40600.18782,38645.59096,65088.12003,64588.15312,63564.00862,62398.46938,62046.91724,61267.31148,60177.55493,59404.9692,58415.20603,39308.73145,101980.0952,39453.27681,35945.37232,57378.82928,144722.9362,151947.2426,57462.97482,39781.33704,30192.86189,61105.4286,151743.6549,16527.08311,83118.15933,19685.68072,25220.94485,25230.55848,39725.35638,157805.9987,157805.9987,158147.3314,158330.1519,160385.4609,155609.2949,167142.682,33901.51845,38951.31946,56977.93718,56145.15142,17456.44604,17539.24876,39083.81522,0,29916.43798,31374.54682,81904.19871,31197.90098,139215.8543,157805.9987,166177.1295,182500.9422,156063.6982,199456.5561
bpns-zbe1,179361.3127,172726.6494,167281.7361,162447.1245,152557.8418,147047.4385,134537.3899,132048.0189,124024.1559,114341.4651,108894.5239,86411.90172,82498.70559,122034.4589,129234.4327,101104.9313,139223.4402,137875.1049,108694.5859,114441.4341,86794.63576,148537.0953,101187.7341,90498.26026,61860.52725,62008.94201,62657.32367,47558.32314,46641.19204,45868.6063,44520.27097,43313.33037,38712.91607,38364.51454,37716.13288,24718.4309,23966.90523,61960.52063,38523.09995,22093.67353,62805.73843,62736.97577,37474.74476,180016.5435,26335.51567,26632.34519,23187.29947,44992.87656,44492.90966,43468.76516,42303.22592,41951.67378,41172.06802,40082.31147,39309.72573,38319.96257,20124.31784,81884.8517,21179.69305,25959.03405,47509.62625,124627.6927,131851.9992,37367.73136,19851.69901,8441.564144,54106.03878,131648.4115,13389.35486,63022.91586,13100.57048,16464.52654,4685.879495,25287.87926,137710.7552,137710.7552,138052.0879,138234.9084,140290.2174,135514.0514,147047.4385,35218.73019,36813.04183,50739.92638,38285.58123,45264.44982,45464.38777,22549.08845,29916.43798,0,1540.960369,61808.95524,4506.72217,119120.6108,137710.7552,146081.886,162405.6987,135968.4547,179361.3127
bpns-ZA2,180258.0292,173623.366,168178.4526,163343.8411,153454.5584,147944.1551,135434.1065,132944.7355,124920.8725,115238.1817,109791.2405,87308.6183,83395.42218,122931.1755,130131.1492,102001.6479,140120.1568,138771.8215,109591.3025,115338.1506,87691.35235,149433.8119,102084.4506,91394.97685,62757.24383,62905.65859,63554.04026,48455.03972,47537.90863,46765.32289,45416.98756,44210.04696,39609.63265,39261.23113,38612.84946,25615.14749,24863.62182,62857.23721,39419.81653,22990.39011,63702.45502,63633.69235,38371.46134,180913.2601,27232.23225,27529.06177,24084.01606,45889.59315,45389.62624,44365.48174,43199.94251,42848.39036,42068.7846,40979.02805,40206.44232,39216.67915,21021.03442,82781.56829,22076.40964,25238.02032,46788.61252,125524.4093,132748.7157,38264.44794,20748.41559,9338.28073,53385.02505,132545.1281,14847.4637,63919.63245,13621.59745,16654.34265,6143.988335,24566.86552,138607.4718,138607.4718,138948.8045,139131.625,141186.934,136410.768,147944.1551,35160.13817,36092.02809,50018.91264,39182.29782,46722.55866,46922.49661,23445.80504,31374.54682,1540.960369,0,62705.67183,5403.438755,120017.3274,138607.4718,146978.6026,163302.4153,136865.1713,180258.0292
