"","...1","animal_project_code","acoustic_tag_id","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m","distance_to_source_m"
"71",71,"PTN-Silver-eel-Mondego","A69-1601-19219","R1","VR2W-125699",40.283,-8.266,2015-12-28 18:29:07,2015-12-28 18:46:24,13,NA,NA,NA,1671.881643,1671.881643
"72",72,"PTN-Silver-eel-Mondego","A69-1601-19219","R2","VR2W-125700",40.208,-8.434,2016-01-04 23:01:59,2016-01-04 23:03:43,3,620135,24952.180689,0.040237,26624.062332,26624.062332
"73",73,"PTN-Silver-eel-Mondego","A69-1601-19219","R7","VR2W-125708",40.145,-8.842,2016-01-05 14:35:51,2016-01-05 14:38:18,3,55928,45361.332462,0.811067,71985.394794,71985.394793
"74",74,"PTN-Silver-eel-Mondego","A69-1601-19219","R8","VR2W-125704",40.145372,-8.873039,2016-01-05 16:16:21,2016-01-05 16:16:21,1,5883,2822.413272,0.479757,74807.808066,74807.808066
"75",75,"PTN-Silver-eel-Mondego","A69-1601-19220","rel_mondego","none",40.295,-8.257,2015-11-13 17:00:00,2015-11-13 17:00:00,1,NA,NA,NA,0,0
"76",76,"PTN-Silver-eel-Mondego","A69-1601-19220","R1","VR2W-125699",40.283,-8.266,2015-11-14 11:22:28,2015-11-14 12:03:18,19,66148,1671.881643,0.025275,1671.881643,1671.881643
"77",77,"PTN-Silver-eel-Mondego","A69-1601-19220","R1","VR2W-125699",40.283,-8.266,2015-11-14 17:41:04,2015-11-14 18:11:36,29,NA,NA,NA,1671.881643,1671.881643
"78",78,"PTN-Silver-eel-Mondego","A69-1601-19221","rel_mondego","none",40.295,-8.257,2015-11-13 17:00:00,2015-11-13 17:00:00,1,NA,NA,NA,0,0
"79",79,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-11-22 23:10:54,2015-11-23 10:34:01,589,799854,1671.881643,0.00209,1671.881643,1671.881643
"80",80,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-11-23 15:13:22,2015-11-23 15:13:22,1,NA,NA,NA,1671.881643,1671.881643
"81",81,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-11-23 20:22:50,2015-11-23 20:22:50,1,NA,NA,NA,1671.881643,1671.881643
"82",82,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-11-23 23:58:29,2015-11-24 02:32:39,130,NA,NA,NA,1671.881643,1671.881643
"83",83,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-11-24 06:05:41,2015-11-24 06:52:45,33,NA,NA,NA,1671.881643,1671.881643
"84",84,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-11-24 18:44:03,2015-11-24 19:36:31,33,NA,NA,NA,1671.881643,1671.881643
"85",85,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-11-24 22:16:15,2015-11-24 23:11:26,15,NA,NA,NA,1671.881643,1671.881643
"86",86,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-11-27 03:30:22,2015-11-27 04:21:44,18,NA,NA,NA,1671.881643,1671.881643
"87",87,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-11-28 00:03:09,2015-11-28 05:32:21,310,NA,NA,NA,1671.881643,1671.881643
"88",88,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-11-28 17:54:59,2015-11-28 21:05:18,128,NA,NA,NA,1671.881643,1671.881643
"89",89,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-12-02 18:33:06,2015-12-02 18:38:20,7,NA,NA,NA,1671.881643,1671.881643
"90",90,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-12-03 00:19:28,2015-12-03 00:26:16,2,NA,NA,NA,1671.881643,1671.881643
"91",91,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-12-03 01:36:47,2015-12-03 01:36:47,1,NA,NA,NA,1671.881643,1671.881643
"92",92,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-12-03 18:34:17,2015-12-03 18:39:32,2,NA,NA,NA,1671.881643,1671.881643
"93",93,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-12-03 19:43:59,2015-12-03 20:33:57,4,NA,NA,NA,1671.881643,1671.881643
"94",94,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-12-05 04:28:21,2015-12-05 06:34:02,96,NA,NA,NA,1671.881643,1671.881643
"95",95,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-12-09 01:30:25,2015-12-09 05:04:40,180,NA,NA,NA,1671.881643,1671.881643
"96",96,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-12-09 06:22:17,2015-12-09 07:21:52,10,NA,NA,NA,1671.881643,1671.881643
"97",97,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-12-11 02:14:25,2015-12-11 03:28:01,27,NA,NA,NA,1671.881643,1671.881643
"98",98,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-12-11 06:53:43,2015-12-11 06:53:43,1,NA,NA,NA,1671.881643,1671.881643
"99",99,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-12-12 04:50:16,2015-12-12 06:25:11,32,NA,NA,NA,1671.881643,1671.881643
"100",100,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-12-12 18:51:11,2015-12-12 20:47:15,48,NA,NA,NA,1671.881643,1671.881643
"101",101,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-12-14 02:43:26,2015-12-14 06:15:50,98,NA,NA,NA,1671.881643,1671.881643
"102",102,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-12-15 17:44:00,2015-12-16 04:43:46,468,NA,NA,NA,1671.881643,1671.881643
"103",103,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-12-18 19:23:16,2015-12-19 06:23:55,460,NA,NA,NA,1671.881643,1671.881643
"104",104,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-12-20 00:20:49,2015-12-20 05:26:56,163,NA,NA,NA,1671.881643,1671.881643
"105",105,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-12-20 06:50:03,2015-12-20 07:00:42,5,NA,NA,NA,1671.881643,1671.881643
"106",106,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-12-20 18:18:17,2015-12-21 06:44:12,353,NA,NA,NA,1671.881643,1671.881643
"107",107,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2015-12-21 18:04:49,2015-12-21 19:55:12,84,NA,NA,NA,1671.881643,1671.881643
"108",108,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2016-01-06 18:16:23,2016-01-06 18:45:17,11,NA,NA,NA,1671.881643,1671.881643
"109",109,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2016-01-29 20:16:57,2016-01-29 21:34:50,45,NA,NA,NA,1671.881643,1671.881643
"110",110,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2016-01-30 00:08:15,2016-01-30 00:43:50,4,NA,NA,NA,1671.881643,1671.881643
"111",111,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2016-01-30 04:32:27,2016-01-30 04:43:59,7,NA,NA,NA,1671.881643,1671.881643
"112",112,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2016-01-31 22:39:10,2016-02-01 06:37:15,232,NA,NA,NA,1671.881643,1671.881643
"113",113,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2016-02-02 02:15:54,2016-02-02 05:39:28,125,NA,NA,NA,1671.881643,1671.881643
"114",114,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2016-02-03 01:48:12,2016-02-03 04:30:10,43,NA,NA,NA,1671.881643,1671.881643
"115",115,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2016-02-03 06:29:54,2016-02-03 06:31:22,2,NA,NA,NA,1671.881643,1671.881643
"116",116,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2016-02-03 18:53:53,2016-02-04 06:19:00,349,NA,NA,NA,1671.881643,1671.881643
"117",117,"PTN-Silver-eel-Mondego","A69-1601-19221","R1","VR2W-125699",40.283,-8.266,2016-02-04 22:15:02,2016-02-04 22:21:48,3,NA,NA,NA,1671.881643,1671.881643
"118",118,"PTN-Silver-eel-Mondego","A69-1601-19222","rel_mondego","none",40.295,-8.257,2015-11-13 17:00:00,2015-11-13 17:00:00,1,NA,NA,NA,0,0
"119",119,"PTN-Silver-eel-Mondego","A69-1601-19222","R1","VR2W-125699",40.283,-8.266,2015-11-14 05:32:15,2015-11-14 09:27:20,49,45135,1671.881643,0.037042,1671.881643,1671.881643
"120",120,"PTN-Silver-eel-Mondego","A69-1601-19223","rel_mondego","none",40.295,-8.257,2015-11-13 17:00:00,2015-11-13 17:00:00,1,NA,NA,NA,0,0
"121",121,"PTN-Silver-eel-Mondego","A69-1601-19223","R1","VR2W-125699",40.283,-8.266,2015-11-14 20:00:45,2015-11-14 21:19:06,63,97245,1671.881643,0.017192,1671.881643,1671.881643
"122",122,"PTN-Silver-eel-Mondego","A69-1601-19223","R2","VR2W-125700",40.208,-8.434,2016-01-04 20:22:22,2016-01-04 20:48:35,6,4402996,24952.180689,0.005667,26624.062332,26624.062332
"123",123,"PTN-Silver-eel-Mondego","A69-1601-19223","R7","VR2W-125708",40.145,-8.842,2016-01-22 19:36:32,2016-01-22 19:40:06,4,1550877,45361.332462,0.029249,71985.394794,71985.394793
"124",124,"PTN-Silver-eel-Mondego","A69-1601-19223","R8","VR2W-125704",40.145372,-8.873039,2016-01-22 21:08:07,2016-01-22 21:09:15,2,5281,2822.413272,0.534447,74807.808066,74807.808066
"125",125,"PTN-Silver-eel-Mondego","A69-1601-19224","rel_mondego","none",40.295,-8.257,2015-11-13 17:00:00,2015-11-13 17:00:00,1,NA,NA,NA,0,0
"126",126,"PTN-Silver-eel-Mondego","A69-1601-19224","R1","VR2W-125699",40.283,-8.266,2015-11-13 19:42:07,2015-11-13 21:44:40,66,9727,1671.881643,0.171881,1671.881643,1671.881643
"127",127,"PTN-Silver-eel-Mondego","A69-1601-19225","rel_mondego","none",40.295,-8.257,2015-11-13 17:00:00,2015-11-13 17:00:00,1,NA,NA,NA,0,0
"128",128,"PTN-Silver-eel-Mondego","A69-1601-19225","R1","VR2W-125699",40.283,-8.266,2015-11-14 23:02:38,2015-11-15 02:22:11,112,108158,1671.881643,0.015458,1671.881643,1671.881643
"129",129,"PTN-Silver-eel-Mondego","A69-1601-19225","R1","VR2W-125699",40.283,-8.266,2015-11-19 21:50:28,2015-11-20 00:35:37,78,NA,NA,NA,1671.881643,1671.881643
"130",130,"PTN-Silver-eel-Mondego","A69-1601-19225","R1","VR2W-125699",40.283,-8.266,2015-11-20 02:22:54,2015-11-20 04:21:25,58,NA,NA,NA,1671.881643,1671.881643
"131",131,"PTN-Silver-eel-Mondego","A69-1601-19225","R2","VR2W-125700",40.208,-8.434,2015-12-05 08:57:30,2015-12-05 08:57:30,1,1312565,24952.180689,0.01901,26624.062332,26624.062332
"132",132,"PTN-Silver-eel-Mondego","A69-1601-19225","R2","VR2W-125700",40.208,-8.434,2015-12-09 05:44:01,2015-12-09 05:44:01,1,NA,NA,NA,26624.062332,26624.062332
"133",133,"PTN-Silver-eel-Mondego","A69-1601-19225","R2","VR2W-125700",40.208,-8.434,2015-12-09 18:40:16,2015-12-09 19:39:50,26,NA,NA,NA,26624.062332,26624.062332
"134",134,"PTN-Silver-eel-Mondego","A69-1601-19226","rel_mondego","none",40.295,-8.257,2015-11-13 17:00:00,2015-11-13 17:00:00,1,NA,NA,NA,0,0
"135",135,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-11-16 00:50:01,2015-11-16 06:26:43,285,201001,1671.881643,0.008318,1671.881643,1671.881643
"136",136,"PTN-Silver-eel-Mondego","A69-1601-19226","R1","VR2W-125699",40.283,-8.266,2015-11-16 18:22:53,2015-11-16 18:38:00,6,NA,NA,NA,1671.881643,1671.881643
