animal_project_code,station_name,latitude,longitude,habitat_type,habitat_type2,habitat_type3
noordzeekanaal,bpns-Kilmore,51.3955,2.4965,marine,marine,marine
noordzeekanaal,Overtoom 1,52.430117,4.784283,freshwater,freshwater,freshwater
noordzeekanaal,Spuisluis NZK,52.470646,4.607811,freshwater,freshwater,freshwater
noordzeekanaal,Middensluis Noordzee,52.465373,4.592419,marine_barrier,freshwater,freshwater
noordzeekanaal,Kadoelen 5,52.411317,4.9304,freshwater,freshwater,freshwater
noordzeekanaal,Kadoelen 2,52.417517,4.913867,freshwater,freshwater,freshwater
noordzeekanaal,Kadoelen 3,52.41495,4.918467,freshwater,freshwater,freshwater
noordzeekanaal,Kadoelen 4,52.415583,4.92355,freshwater,freshwater,freshwater
noordzeekanaal,Kadoelen 1,52.408503,4.908567,freshwater,freshwater,freshwater
noordzeekanaal,De Poel,52.443433,5.047922,freshwater,freshwater,freshwater
noordzeekanaal,bpns-WK14,51.3685,3.262,marine,marine,marine
noordzeekanaal,bpns-Whitley,51.15116667,2.660333333,marine,marine,marine
noordzeekanaal,Overtoom 3,52.4312,4.784414,freshwater,freshwater,freshwater
noordzeekanaal,Overtoom 2,52.430802,4.783545,freshwater,freshwater,freshwater
noordzeekanaal,bpns-O6,51.243106,2.917725,marine,marine,marine
noordzeekanaal,Spaarne gemaal,52.410548,4.673446,freshwater,freshwater,freshwater
noordzeekanaal,Spaarne sluis,52.412068,4.680792,freshwater,freshwater,freshwater
noordzeekanaal,Spaarndam,52.413517,4.67765,freshwater,freshwater,freshwater
noordzeekanaal,Cruquius,52.338227,4.63522,freshwater,freshwater,freshwater
noordzeekanaal,Zijkanaal C kom,52.416501,4.678964,freshwater,freshwater,freshwater
noordzeekanaal,Halfweg boezemzijde,52.391732,4.770434,freshwater,freshwater,freshwater
noordzeekanaal,Halfweg NZKzijde,52.394583,4.772506,freshwater,freshwater,freshwater
noordzeekanaal,Boezem Spaarne,52.41308,4.674668,freshwater,freshwater,freshwater
noordzeekanaal,Zwanenburg,52.369568,4.758351,freshwater,freshwater,freshwater
noordzeekanaal,bpns-WENDUINEBANKW,51.287167,2.879166667,marine,marine,marine
noordzeekanaal,PC4C-C05-2,51.667924,2.801819,marine,marine,marine
noordzeekanaal,Katwijk 2,52.207545,4.407171,freshwater,freshwater,freshwater
noordzeekanaal,Katwijk 1,52.210324,4.401197,freshwater,freshwater,freshwater
noordzeekanaal,Katwijk 3,52.199717,4.426933,freshwater,freshwater,freshwater
noordzeekanaal,ws-W6,51.41834,3.453181,tidal_brackish,tidal_brackish,tidal
noordzeekanaal,ws-W7,51.410173,3.454515,tidal_brackish,tidal_brackish,tidal
noordzeekanaal,bpns-Trapegeer,51.14033333,2.573,marine,marine,marine
noordzeekanaal,bpns-W1,51.391333,3.303666667,marine,marine,marine
noordzeekanaal,Vinkeveen gemaal,52.220129,4.973093,freshwater,freshwater,freshwater
noordzeekanaal,Vinkeveen sluis,52.220603,4.972182,freshwater,freshwater,freshwater
noordzeekanaal,ARK Zuid,52.185058,4.996343,freshwater,freshwater,freshwater
noordzeekanaal,Berlagerbrug,52.346957,4.912993,freshwater,freshwater,freshwater
noordzeekanaal,Loosdrecht2a sluis,52.243116,5.048159,freshwater,freshwater,freshwater
noordzeekanaal,Loosdracht 2b gemaal,52.242178,5.047687,freshwater,freshwater,freshwater
noordzeekanaal,Loosdrecht 1,52.231981,5.032877,freshwater,freshwater,freshwater
noordzeekanaal,Loosdrecht 3,52.256101,5.043167,freshwater,freshwater,freshwater
noordzeekanaal,Muiden,52.32631,5.064354,freshwater,freshwater,freshwater
noordzeekanaal,ws-DL12,51.466175,3.502181,tidal_brackish,tidal_brackish,tidal
noordzeekanaal,ws-OGDL,51.46395,3.51263,tidal_brackish,tidal_brackish,tidal
noordzeekanaal,ws-TRAWL,51.437785,3.470347,tidal_brackish,tidal_brackish,tidal
noordzeekanaal,Lelystad,52.532761,5.433627,freshwater,freshwater,freshwater
noordzeekanaal,Enkhuizen,52.702266,5.298687,freshwater,freshwater,freshwater
noordzeekanaal,bpns-nieuwpoortbank,51.1695,2.6015,marine,marine,marine
noordzeekanaal,bpns-WK12,51.461167,3.107,marine,marine,marine
noordzeekanaal,ws-STEEN,51.403409,3.465898,tidal_brackish,tidal_brackish,tidal
noordzeekanaal,rel_noordzeekanaal10,52.219452,4.96083,freshwater,freshwater,freshwater
noordzeekanaal,rel_noordzeekanaal11,52.220457,4.973436,freshwater,freshwater,freshwater
noordzeekanaal,rel_noordzeekanaal5,52.442922,4.789876,freshwater,freshwater,freshwater
noordzeekanaal,rel_noordzeekanaal6,52.397264,4.677708,freshwater,freshwater,freshwater
noordzeekanaal,rel_noordzeekanaal12,52.236496,5.058484,freshwater,freshwater,freshwater
noordzeekanaal,rel_noordzeekanaal13,52.244517,5.047218,freshwater,freshwater,freshwater
noordzeekanaal,rel_noordzeekanaal2,52.409056,4.927359,freshwater,freshwater,freshwater
noordzeekanaal,rel_noordzeekanaal3,52.411463,4.911775,freshwater,freshwater,freshwater
noordzeekanaal,rel_noordzeekanaal7,52.385734,4.749574,freshwater,freshwater,freshwater
noordzeekanaal,rel_noordzeekanaal1,52.452208,4.678779,freshwater,freshwater,freshwater
noordzeekanaal,rel_noordzeekanaal8,52.204831,4.400155,freshwater,freshwater,freshwater
noordzeekanaal,rel_noordzeekanaal14,52.470893,4.820397,freshwater,freshwater,freshwater
noordzeekanaal,rel_noordzeekanaal15,52.451725,4.818485,freshwater,freshwater,freshwater
noordzeekanaal,rel_noordzeekanaal9,52.205318,4.403105,freshwater,freshwater,freshwater
noordzeekanaal,rel_noordzeekanaal4,52.416521,4.913081,freshwater,freshwater,freshwater
noordzeekanaal,rel_noordzeekanaal16,52.434968,5.090042,freshwater,freshwater,freshwater
noordzeekanaal,rel_noordzeekanaal17,52.641481,5.20226,freshwater,freshwater,freshwater
esgl,C8,47.1198,-1.68606,freshwater,freshwater,freshwater
esgl,C7,47.1224,-1.68732,freshwater,freshwater,freshwater
esgl,C9,47.1302,-1.69086,freshwater,freshwater,freshwater
esgl,AM2,47.1319,-1.69705,freshwater,freshwater,freshwater
esgl,AM3,47.1323,-1.69441,freshwater,freshwater,freshwater
